,Message ID,timestamp,content,reactions,share,photos,videos,call_duration,audio_files
180,2295,2025-02-01 00:21:41,,"[{'reaction': 'â\x9d¤', 'actor': 'Georgia-Rae'}, {'reaction': 'â\x9d¤', 'actor': 'Sean Condren Kuipers', 'timestamp': 1738407479}, {'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·', 'timestamp': 1738371667}, {'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin'}, {'reaction': 'â\x9d¤', 'actor': 'Emma Smyth'}, {'reaction': 'ð\x9f\x91\x85', 'actor': 'shane'}]",,,"[{'uri': 'your_instagram_activity/messages/inbox/2025poopchat_8986527554771415/videos/475834573_28111469508500515_3110404628857089919_n_1239563250476581.mp4', 'creation_timestamp': 1738369287}]",,
181,2296,2025-02-01 00:22:10,"It sent! Oh but the quality may be shit, if you wanna watch it properly you may need to save it",,,,,,
182,2306,2025-02-01 00:31:23,Thank you good sir,,,,,,
183,2336,2025-02-01 10:56:41,No you the slag queen ð¸,"[{'reaction': 'â\x9d¤', 'actor': 'Emma Smyth'}]",,,,,
184,2355,2025-02-01 13:10:56,"We shall cherish her memory forever, she pooped a good poop","[{'reaction': 'â\x9d¤', 'actor': 'Katie Long', 'timestamp': 1738415490}]",,,,,
185,2395,2025-02-02 11:50:43,38,,,,,,
186,2434,2025-02-03 06:27:10,Love that,,,,,,
187,2486,2025-02-04 10:17:31,39,,,,,,
188,2494,2025-02-04 12:14:11,40,,,,,,
189,2519,2025-02-05 10:35:04,41,,,,,,
190,2520,2025-02-05 10:35:08,Filthy,"[{'reaction': 'â\x9d¤', 'actor': 'Ros Hanley'}]",,,,,
191,2538,2025-02-05 21:49:52,Brothers I have release the Charlie browns at the bolands pool,,,,,,
192,2539,2025-02-05 21:49:58,42,,,,,,
193,2541,2025-02-05 21:53:31,I feel sorry for who has to clean up after me,,,,,,
194,2542,2025-02-05 21:53:38,Praying itâs not you shane,,,,,,
