,Poop,IDs,user,timestamp,content,reactions
0,1,12,Conor,2025-01-01 12:22:44,1,
1,2,134,Conor,2025-01-01 21:32:49,2,
2,3,242,Conor,2025-01-02 14:27:34,"And we're 3 years deep, there's nothing that we haven't already said, we are literally in this shit together","[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735828067}]"
3,4,513,Conor,2025-01-05 00:22:01,4,
4,5,748,Conor,2025-01-07 23:04:26,5,
5,6,834,Conor,2025-01-09 00:36:35,6,
6,7,896,Conor,2025-01-09 21:14:17,7,
7,8,1104,Conor,2025-01-11 23:34:22,8,
8,9,1134,Conor,2025-01-12 14:46:12,9,
