,content,timestamp,reactions,share,audio_files,photos,videos,call_duration
139,,2024-03-14 17:57:21.078,,{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwbmNteWcyNXczeTJyOWR1ZjFza2RnbHR1YWJhMnU1azAwaXd0Y3I1YyZlcD12MV9naWZzX2dpZklkJmN0PWc/ckT59CvStmUsU/200.gif'},,,,
140,,2024-03-15 16:37:50.226,,"{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwbHhsZ3VmZ3ZsN3pja2M0ZTk5ZHVxY2x2dnlhYndqaDAwejl0dnBnciZlcD12MV9naWZzX2dpZklkJmN0PWc/4LQsFnBHIqn56kglEY/200.gif', 'original_content_owner': 'sjsharkie'}",,,,
141,In the grandpaps toilet,2024-03-15 16:38:22.455,,,,,,
142,Shitting for 3 generations ð,2024-03-15 16:38:51.018,"[{'reaction': 'ð\x9f\x98®', 'actor': 'Dan Griffin'}]",,,,,
143,,2024-03-16 12:05:51.802,,"{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwMmg0cXgyemNsM2N0eG85YnRuM3F2YThhazE5b3M4ZHYxOHU1NjRlaSZlcD12MV9naWZzX2dpZklkJmN0PWc/KeNatgmewJtdqI6djz/200.gif', 'original_content_owner': 'VisitSpringfield'}",,,,
144,,2024-03-16 13:41:44.068,,"{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwcjkyMGlpdDkwbWM3dDRzdGgwcTdzOWFzN2o0YnhpemloMHdmbGNsMCZlcD12MV9naWZzX2dpZklkJmN0PWc/WSRPBqcgKYfQSyVbr1/200.gif', 'original_content_owner': 'ollejerki'}",,,,
145,Does it count if its liquid ?,2024-03-16 13:42:00.629,"[{'reaction': 'ð\x9f¤¢', 'actor': 'Dan Griffin'}, {'reaction': 'ð\x9f\x98®', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}]",,,,,
146,,2024-03-16 20:34:17.747,,"{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwNTg5NTgyZnprNGkya3o2cWx0Z3l5NjJudjA4cnZlOHI1N3MyMnZjOCZlcD12MV9naWZzX2dpZklkJmN0PWc/3Z1kP72FPHFiZsHR8D/200.gif', 'original_content_owner': '6ixty8ight'}",,,,
147,I think im just unwell hahaha,2024-03-16 20:34:31.313,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}]",,,,,
148,,2024-03-17 14:15:03.397,,,,"[{'uri': 'your_instagram_activity/messages/inbox/weaponsofassdestruction_6833428546725359/photos/432791574_399414512724651_3736358322878061795_n_399414509391318.jpg', 'creation_timestamp': 1710684902}]",,
