,content,timestamp,reactions,share,audio_files,photos,videos,call_duration
10,You swipe up as you hold record,2024-01-02 19:36:39.831,,,,,,
11,It will lock,2024-01-02 19:36:45.099,,,,,,
12,I really wanna make a poop themed parody of creep now ð¤£,2024-01-02 19:38:20.700,,,,,,
13,,2024-01-02 19:40:43.558,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}]",,"[{'uri': 'your_instagram_activity/messages/inbox/weaponsofassdestruction_6833428546725359/audio/audioclip170422443900014907_1054367169014492.mp4', 'creation_timestamp': 1704224439}]",,,
14,,2024-01-02 19:42:35.696,,,"[{'uri': 'your_instagram_activity/messages/inbox/weaponsofassdestruction_6833428546725359/audio/audioclip170422455200016857_669703601912894.mp4', 'creation_timestamp': 1704224552}]",,,
15,Thats for rosð,2024-01-02 19:43:06.801,,,,,,
16,Are lacsative performance inhancing drugs ?,2024-01-02 19:56:41.067,"[{'reaction': 'ð\x9f\x91\x8d', 'actor': 'lalala lucky to have me here'}]",,,,,
17,Glad to have helped pprovide a relaxing shitting experience,2024-01-02 21:04:04.222,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}]",,,,,
18,Eoin has that electrician diet to his advantage,2024-01-03 17:32:12.054,"[{'reaction': 'ð\x9f\x98\x82', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}]",,,,,
19,"Meanwhile I'm here no update since day 1, just happy to be involved ð",2024-01-04 00:39:08.009,,,,,,
20,ð¥²,2024-01-04 00:39:51.509,,,,,,
21,Maybe I can only shit when im in Tos' house,2024-01-04 00:40:38.077,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Ros Hanley'}]",,,,,
22,Ros'*,2024-01-04 00:40:47.380,,,,,,
23,Ros would you still fw a guy who shits in your house from time to time,2024-01-04 00:43:58.894,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}]",,,,,
24,ððð,2024-01-04 00:44:29.922,,,,,,
25,Its 1am what are you busy with,2024-01-04 00:44:48.629,,,,,,
26,,2024-01-04 00:45:06.432,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Ros Hanley'}]",{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwbXpkdnNyOG92ZXYxbGw2Mnd6MjJwY2htZmluM3dpcmlxZXNmczVjZiZlcD12MV9naWZzX2dpZklkJmN0PWc/ANbD1CCdA3iI8/200.gif'},,,,
27,Jack sent an attachment.,2024-01-04 00:49:31.632,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Dan Griffin'}]","{'link': 'https://www.instagram.com/reel/Cm5LCtCuXzS/?id=3006482790561184978_32640340019', 'share_text': '', 'original_content_owner': 'lilniqqainasuit'}",,,,
28,For people not in last years chat,2024-01-04 00:49:51.508,,,,,,
29,Enjoy ðð,2024-01-04 00:50:02.938,,,,,,
30,Beautiful,2024-01-04 00:56:21.545,,,,,,
31,I would be on 4 tho not 2,2024-01-04 00:56:38.588,,,,,,
32,,2024-01-04 19:36:27.722,,"{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwcXhrbG5nZG8xZmYxZTB6aDU4YWgzMmJlaGRsbHM1NGlvaXlsMnRjdCZlcD12MV9naWZzX2dpZklkJmN0PWc/09HAftvLeRDew2HWEM/200.gif', 'original_content_owner': 'sacramentokings'}",,,,
33,,2024-01-04 20:42:09.036,,"{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwbDNlbnV6NTFwczI4N2thcHhyOTNua3BycjQ2Z2ptaWY2YjZ5c2diZyZlcD12MV9naWZzX2dpZklkJmN0PWc/3o7aDf4EepHQdQvcnm/200.gif', 'original_content_owner': 'ytwfxx'}",,,,
34,I will see you all in another 3 days ð¤£,2024-01-04 20:42:32.713,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Stephen Allen'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}]",,,,,
35,,2024-01-06 01:43:18.599,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Conor Mcmenamin'}]","{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwcTNsamk1eHA1aGxtNGtycjBybGFmY2M3Y3dpMjRtODVvbDNhamlhMCZlcD12MV9naWZzX2dpZklkJmN0PWc/YqL8CjKdlWFCEOk6WV/200.gif', 'original_content_owner': 'lfc'}",,,,
36,j.mcrann_ reacted â¤ï¸ to your message ,2024-01-07 03:44:37.481,,,,,,
37,,2024-01-07 12:05:18.242,,"{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwY3RhcGR5YWp4OTV1bGtoa2kxd3EwejhtbTJrZGhqNnFqcW9heHB2ZSZlcD12MV9naWZzX2dpZklkJmN0PWc/xT9IgxiUfXHycuUkRW/200.gif', 'original_content_owner': 'ytwfxx'}",,,,
38,In stephens downstairs bathroom,2024-01-07 12:05:34.661,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Dan Griffin'}, {'reaction': 'ð\x9f\x8e\x89', 'actor': 'lalala lucky to have me here'}]",,,,,
39,Are you okay ð,2024-01-07 13:21:29.378,"[{'reaction': 'ð\x9f\x98\x82', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}]",,,,,
40,,2024-01-07 15:24:38.082,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media3.giphy.com/media/v1.Y2lkPTQyMzA0NmQwamVrb3ZvbHJoeXpmZG1yeHQydW9jajV3ZGVoZGdpZXMyajdlbjdnbyZlcD12MV9naWZzX2dpZklkJmN0PWc/1wpd0bR4tTkIuaLW9s/200.gif', 'original_content_owner': 'nbcsboston'}",,,,
41,Dun Laoghaire shopping centre toilet,2024-01-07 15:24:57.848,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}, {'reaction': 'ð\x9f\x98®', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Dan Griffin'}]",,,,,
42,"You and stephen, maybe you can hold hands while you do it",2024-01-07 17:27:53.832,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Stephen Allen'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Dex'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Dan Griffin'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}]",,,,,
43,Cute date idea ð,2024-01-07 17:28:09.234,,,,,,
44,Oh wait thats shit yourselves ð,2024-01-07 17:28:39.041,,,,,,
45,Still works tho,2024-01-07 17:28:57.566,,,,,,
46,He also already has one,2024-01-07 19:27:01.026,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}]",,,,,
47,I feel like conan and eoin combined will double the rest of the chat by next year ð¤£,2024-01-07 21:09:26.933,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Dan Griffin'}]",,,,,
48,,2024-01-08 23:41:55.424,"[{'reaction': 'ð\x9f\x8e\x89', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwMjI2bXA1MG8xcW82bXdlN2cxcjl3bnFwamh0N3NkNnJtYXU0dDJ1ZCZlcD12MV9naWZzX2dpZklkJmN0PWc/3o7btY8Hn1LxzjWvUQ/200.gif', 'original_content_owner': 'trutv'}",,,,
49,,2024-01-09 17:01:48.056,,{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwaTZjeWd4NTE1azBodXZ5MGl1YXBnM3l0bjJieHdjYnY5c2dkcXZycyZlcD12MV9naWZzX2dpZklkJmN0PWc/P2MB29d7V3rhu/200.gif'},,,,
50,So does this mean that Conor is the least shittiest person in the group ?,2024-01-09 17:44:04.218,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}]",,,,,
51,Would that not be eoin,2024-01-09 17:44:57.424,,,,,,
52,Followed closly by you ð,2024-01-09 17:45:10.642,,,,,,
53,I guess conor just barely gives a shit,2024-01-09 18:21:22.431,,,,,,
54,,2024-01-10 21:54:16.704,"[{'reaction': 'ð\x9f\x98\x82', 'actor': 'Katie Long'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Ros Hanley'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Dex'}]","{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQweXhsMzBqZWN0NjJ6djJxdTRjaTNiZTc2aW5jYW84N3FhbnoyeWx6aiZlcD12MV9naWZzX2dpZklkJmN0PWc/3ohhwtBU5eyOiuM61a/200.gif', 'original_content_owner': 'strangerthings'}",,,,
55,"Stephen is ""total prolapse of the arse"" not closer to the song lyric ?",2024-01-10 22:39:27.654,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Katie Long'}]",,,,,
56,,2024-01-11 07:59:49.869,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwMDVneDJlZGF2eXMyZHUzMTlsZjJnZTJ6cGg1ZWFjNDA2dW54aGJvMiZlcD12MV9naWZzX2dpZklkJmN0PWc/hpdhRJonNAcyIb6fM1/200.gif', 'original_content_owner': 'SkyRadio_101fm'}",,,,
57,In a ryanair plane,2024-01-11 08:00:18.673,,,,,,
58,,2024-01-11 08:00:23.547,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Dan Griffin'}]",,,"[{'uri': 'your_instagram_activity/messages/inbox/weaponsofassdestruction_6833428546725359/photos/416809647_1819323401851939_6152543101658535946_n_1819323398518606.jpg', 'creation_timestamp': 1704960022}]",,
59,"I'd like to nominate an honorable mention shit, my mate  alex is currently destroying the hotel bathroomð«¡",2024-01-12 10:21:37.935,,,,,,
60,,2024-01-12 10:24:35.543,,,,,,
61,,2024-01-12 22:11:28.585,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Ros Hanley'}]","{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwNjk4am1vemQ3d2Y5MmRtbXoyN2s2MzRrcXVycmV1dnp5Ym8yYm42dyZlcD12MV9naWZzX2dpZklkJmN0PWc/ymanNo24mHm5qFkF2k/200.gif', 'original_content_owner': 'hamsadasa'}",,,,
62,,2024-01-13 13:28:43.044,,"{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwM3V0eWdhOXRid2xuaXhyZXVuZzY5MnBvbzl1aWQweGxocmVleWloYiZlcD12MV9naWZzX2dpZklkJmN0PWc/Etz203FECshDS7dRku/200.gif', 'original_content_owner': 'apetitestore'}",,,,
63,In beauvais airport,2024-01-13 13:29:15.546,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Stephen Allen'}]",,,,,
64,Fun fact.. no toilet in the mens bathroom has a seat ð,2024-01-13 13:29:50.394,"[{'reaction': 'ð\x9f\x98®', 'actor': 'Katie Long'}]",,,,,
65,It sucks pretty hard alright,2024-01-13 13:30:34.393,,,,,,
66,There is just a bird flying around the airport,2024-01-13 13:32:17.225,,,,,,
67,Hes just chilling in the electricals,2024-01-13 13:32:35.472,,,,,,
68,Yup,2024-01-13 13:33:29.201,,,,,,
69,Still one of the weirdest experience i saw was in august seeing fully on ARs in disneyland paris ð¤£,2024-01-13 13:34:19.145,,,,,,
70,,2024-01-13 23:15:43.490,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwbm4ycWl5bW41ajZnbjV4dDFqZXcwaDA3YTlnODVsb3A1dG90ejRxaSZlcD12MV9naWZzX2dpZklkJmN0PWc/l0HlAK9sXG6cVmh7G/200.gif', 'original_content_owner': 'artitudes'}",,,,
71,,2024-01-14 17:05:50.791,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Dan Griffin'}]","{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwM3p6OTYwazdxOGZnYWJrdXplNmMwZGp0ZGpudnhvMnBxNWlsNzJxdyZlcD12MV9naWZzX2dpZklkJmN0PWc/qnpL9BgWNtSs3pagOX/200.gif', 'original_content_owner': 'thewoman105'}",,,,
72,,2024-01-15 00:38:43.057,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwNHk2b2NyMmU5N3M1bWw4cjNldHl3YnE0b2N5bzFlbXJoNWd5OWp0OCZlcD12MV9naWZzX2dpZklkJmN0PWc/PrueuphbGgi7kZPGJD/200.gif', 'original_content_owner': 'MoleAgentFilm'}",,,,
73,,2024-01-17 14:00:16.508,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwOGIxN2hoNGlrdmxsemR1N3U2Z2p2OHNoZnF4OHZpNjlzMXg2ampvbiZlcD12MV9naWZzX2dpZklkJmN0PWc/vpTC2ihaYcgykHGF6X/200.gif', 'original_content_owner': 'FCA1907'}",,,,
74,,2024-01-18 19:01:26.634,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwNjZqdzVoejgyNTNxeTk1OWpxZHJxdzdqamtxdno2YWhqbnI5ZGx6ZCZlcD12MV9naWZzX2dpZklkJmN0PWc/3oz8xDIGS7YvBOC6Va/200.gif', 'original_content_owner': 'artitudes'}",,,,
75,,2024-01-19 13:55:48.378,,"{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwazJ4aXJrM3J2eDNxa3ZhZ3o0MHIzMzVvdGJwMjdrdTZ6emk3dmQxZCZlcD12MV9naWZzX2dpZklkJmN0PWc/T6K8YnIrTT5iiLHsGM/200.gif', 'original_content_owner': 'KiwiGoKGO'}",,,,
76,,2024-01-19 17:36:54.142,,"{'link': 'https://media2.giphy.com/media/v1.Y2lkPTA3MTNiODVjdWNtdHYwZ2lvY3BmeHZkM3JwcjJxMzNzN3lwNjUzaDRxZ2RtOWdtaSZlcD12MV9naWZzX2dpZklkJmN0PXM/UulUogL7W22KFNbJKl/200.gif', 'original_content_owner': 'TalkingStickResort'}",,,,
77,,2024-01-19 21:21:47.319,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'Dex'}, {'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwemFnNTlqOGgxNDZzbTA0eDIzaGYyczQ2b3llZmRjdjI4ZG83bGY1NiZlcD12MV9naWZzX2dpZklkJmN0PWc/S8B0q6ckdDw1dtHQbO/200.gif', 'original_content_owner': 'LoucreativeStudio'}",,,,
78,,2024-01-20 20:39:43.676,,{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwaXFneHJsdTg4eDdxeTltOHA2Mjl5cHA5dmc5MTcwaWFzeDc4M2oyZCZlcD12MV9naWZzX2dpZklkJmN0PWc/iPg2OZbNXc7uM/200.gif'},,,,
79,,2024-01-21 21:09:21.049,"[{'reaction': 'â\x9d¤ï¸\x8f', 'actor': 'lalala lucky to have me here'}]",{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwZWZtdDN5cWw5cmF4NHh2Ym1wajU2anhqZWlyNmN1MWRmdTIxMG45dCZlcD12MV9naWZzX2dpZklkJmN0PWc/83rxg99t45OoM/200.gif'},,,,
80,You know whats funnier than 24,2024-01-23 00:01:21.763,,,,,,
81,,2024-01-23 00:01:34.906,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}]",{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwZWVueXAzZnprNnh6MTlwNzMwZ212eTlhaXp5aHpjNzUyYXJjNHJnbiZlcD12MV9naWZzX2dpZklkJmN0PWc/V7kBlRjEKL8C4/200.gif'},,,,
82,,2024-01-23 00:02:16.529,"[{'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin'}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤', 'actor': 'Stephen Allen'}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin'}, {'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}]","{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwY3l6dDJ2dHdpM2Ztbnk3dGVsbjU1ZDB5M2JzNWhoZ3ZuenlnbmFsbSZlcD12MV9naWZzX2dpZklkJmN0PWc/3ofSBj6YVvRsNGK7hS/200.gif', 'original_content_owner': 'spongebob'}",,,,
83,,2024-01-23 19:53:09.984,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwNHZhcGdiMGR2aWtnOHg0d3lnN3M0dDhxMG1qdWR6dXNoYTRqcHYxdCZlcD12MV9naWZzX2dpZklkJmN0PWc/26FLiEH99DGnhEck8/200.gif', 'original_content_owner': 'artitudes'}",,,,
84,,2024-01-25 16:24:31.332,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin'}]","{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwODRjaTZkejM3Y2lycjdoNHk4cTVoY211bG52bTEyZTV5cmVpNTN3cyZlcD12MV9naWZzX2dpZklkJmN0PWc/gaxazLdcjQHIK7oLpP/200.gif', 'original_content_owner': 'bayer04'}",,,,
85,,2024-01-25 21:42:19.201,"[{'reaction': 'â\x9d¤', 'actor': 'Ros Hanley'}]","{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwemhiemR0aHRoeDJyNTJvY2QzZzFqZzY2ODN3eDMzaDVvcDJvZnJ3YyZlcD12MV9naWZzX2dpZklkJmN0PWc/5xtDarsM8jmOJtlOeTm/200.gif', 'original_content_owner': 'komplex'}",,,,
86,,2024-01-26 18:11:15.728,,"{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwZWYzeDQ4ODVvNjlid2lwdTczeTBkOXN4MWcycnI3dHE1bjF1NDk4ZiZlcD12MV9naWZzX2dpZklkJmN0PWc/DKfqg5Oj7doTXJydhC/200.gif', 'original_content_owner': 'MinkaComics'}",,,,
87,,2024-01-27 20:51:56.108,"[{'reaction': 'â\x9d¤', 'actor': 'Katie Long'}, {'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}, {'reaction': 'â\x9d¤', 'actor': 'Dan Griffin'}]","{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwbTNlMG1uMm80YzJrZnFqcTZpaG1xaXplbGJuZHNia2ViM3ZrMGIycCZlcD12MV9naWZzX2dpZklkJmN0PWc/E9pqCtfYDt1i03zUMF/200.gif', 'original_content_owner': 'fallontonight'}",,,,
88,,2024-01-28 15:50:58.740,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media3.giphy.com/media/v1.Y2lkPTQyMzA0NmQwMGE5N29sazRnbDZtZXo0ZjB4d3cwNmw0ZnQ1YXAwZTBkeHZ3MHhrbCZlcD12MV9naWZzX2dpZklkJmN0PWc/26FKVBzlvrZrhUjgA/200.gif', 'original_content_owner': 'artitudes'}",,,,
89,,2024-01-29 23:23:15.684,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media3.giphy.com/media/v1.Y2lkPTQyMzA0NmQwZjhsd3d2OGN0aXR0MTFjZmRmbzQ4dzF1aW5iZHR3cG8xMHNjc2p6ZCZlcD12MV9naWZzX2dpZklkJmN0PWc/DF2SGRvNWKbbYKkJOq/200.gif', 'original_content_owner': 'thecirclenetflix'}",,,,
90,,2024-01-30 15:30:54.676,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwZHljc3E1N3Fnemhxd3BhMDB4NmFxYXI5bDRvZHU3bmo5bXNjYzhrOCZlcD12MV9naWZzX2dpZklkJmN0PWc/IfmBUejvpdodjsGydA/200.gif', 'original_content_owner': 'cbc'}",,,,
91,j.mcrann_ liked a message,2024-02-01 13:29:08.491,,,,,,
92,,2024-02-01 19:16:11.843,,"{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwOWxrc2E2MGEwamduOXllczY0eDUybXIyMW9maWx1ZmZqbTNvYzJhYSZlcD12MV9naWZzX2dpZklkJmN0PWc/l0MYtt72rnjvGf2XC/200.gif', 'original_content_owner': 'nba'}",,,,
93,I typed 36 into the the gif keyboard and this came up ð¤£,2024-02-02 02:33:47.097,,,,,,
94,,2024-02-02 02:34:01.942,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin'}]","{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwOGhteDBvZGxmemJjNTAxNXJncWVkYTAxZHlyYnJubmxjdXNzdGVzeiZlcD12MV9naWZzX2dpZklkJmN0PWc/YlHUyjV5Z3Wsjrp8iJ/200.gif', 'original_content_owner': 'wwe'}",,,,
95,But anyway 36 ð,2024-02-02 02:34:15.027,,,,,,
96,,2024-02-03 02:52:03.550,,"{'link': 'https://media1.giphy.com/media/v1.Y2lkPTQyMzA0NmQwdmxiY2k5ZzkyczN5bzIwa25hNXlzN2FhbXFjNGdocHp4cTFqMnc5dSZlcD12MV9naWZzX2dpZklkJmN0PWc/BDR0sJhXBbpZwvev3L/200.gif', 'original_content_owner': 'eternalfamilytv'}",,,,
97,In stephens upstairs bathroom,2024-02-03 02:52:22.006,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}, {'reaction': 'ð\x9f\x98¢', 'actor': 'Stephen Allen'}, {'reaction': 'ð\x9f\x98®', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}, {'reaction': 'ð\x9f\x98¢', 'actor': 'Dan Griffin'}]",,,,,
98,,2024-02-03 16:30:36.166,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin'}]",{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwMmh5Ym5qNGtmdjFocWxtcmoxazl4eGdjMnExeGN4ZHZibGE3bGNnZSZlcD12MV9naWZzX2dpZklkJmN0PWc/3oFzlZCZJMJcNUAYOQ/200.gif'},,,,
99,,2024-02-03 22:17:46.251,,"{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwd2xjd2w1MmI4dmZhaGtuNzZyejhrYjQ4cWZqM3FvOXh3YmRxbGk0NSZlcD12MV9naWZzX2dpZklkJmN0PWc/oDVokwfZ0qNLH7PBR3/200.gif', 'original_content_owner': 'goheels'}",,,,
100,,2024-02-04 17:37:10.162,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin'}]","{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwcG9yc2ZodmNkdmxqZGN2d2dvZ3czdHhrbnNxOGV2cDFmcGY2d3JnaiZlcD12MV9naWZzX2dpZklkJmN0PWc/d1E1qTrszo38SV4Q/200.gif', 'original_content_owner': 'giphystudios2017'}",,,,
101,j.mcrann_ liked a message,2024-02-04 21:54:19.112,,,,,,
102,41,2024-02-06 18:26:57.544,,,,,,
103,Burned a little ð,2024-02-06 18:27:05.467,"[{'reaction': 'ð\x9f\x98\x96', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}, {'reaction': 'ð\x9f\x98¢', 'actor': 'Dan Griffin'}]",,,,,
104,,2024-02-06 18:47:26.535,"[{'reaction': 'â\x9d¤', 'actor': 'ð\x9d\x93\x94ð\x9d\x93¸ð\x9d\x93²ð\x9d\x93·'}]",,"[{'uri': 'your_instagram_activity/messages/inbox/weaponsofassdestruction_6833428546725359/audio/audioclip170724524300015139_1408209623402704.mp4', 'creation_timestamp': 1707245243}]",,,
105,I couldnt help myself ð,2024-02-06 18:47:44.184,,,,,,
106,,2024-02-06 21:40:31.685,"[{'reaction': 'â\x9d¤', 'actor': 'lalala lucky to have me here'}]","{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwYTI4aHZ3YWQ5bmhidnFobHdiNG41a2ticnl4cWdleHFyb2lpd2gwbyZlcD12MV9naWZzX2dpZklkJmN0PWc/u9zuEzAFYziC5PRCSA/200.gif', 'original_content_owner': 'SportsManias'}",,,,
107,,2024-02-09 23:00:50.128,,"{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwaG9za3ltb3J0aDIzN2FmOGl3dDR3M2M3czdpcWE2M2xmcThteWdxayZlcD12MV9naWZzX2dpZklkJmN0PWc/yUhBTyhP75n7Kkk9zd/200.gif', 'original_content_owner': 'heyduggee'}",,,,
108,,2024-02-10 13:36:35.127,,"{'link': 'https://media0.giphy.com/media/v1.Y2lkPTQyMzA0NmQwdTQxdXVkcm93bzBteXd4bGNmcWtlaHZtNmUxaGI3dXlqaTVjMGQ4eCZlcD12MV9naWZzX2dpZklkJmN0PWc/J06KLycl29d4N7dWdu/200.gif', 'original_content_owner': 'peacock'}",,,,
109,,2024-02-10 16:30:04.283,"[{'reaction': 'â\x9d¤', 'actor': 'Dan Griffin'}]","{'link': 'https://media4.giphy.com/media/v1.Y2lkPTQyMzA0NmQwMWJoZng3ZmNxNDI4YWhkMW40OXZuNjN3YzV4YzhrZGI1eTBlMDdwayZlcD12MV9naWZzX2dpZklkJmN0PWc/xT1R9PmXVCXBQwL70s/200.gif', 'original_content_owner': 'soultrain'}",,,,
110,,2024-02-10 19:55:23.092,,"{'link': 'https://media2.giphy.com/media/v1.Y2lkPTQyMzA0NmQwMjV6YjdwaHB3Ymw1dzhpcjJ3MjhvMjdpNXBhZGdiOGZvMWQ5em4wNiZlcD12MV9naWZzX2dpZklkJmN0PWc/u7CZdJcyFJPFi08DwG/200.gif', 'original_content_owner': 'KamalaHarris'}",,,,
